ID,AreaPath,IterationPath,Priority,Microsoft.VSTS.Scheduling.StoryPoints
3983123,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,2
3983138,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,2
3983158,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,2
3983172,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,2
3983270,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,2
3983504,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,5
3983551,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,2
3983560,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3983565,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3983580,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3983586,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,5
3983712,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,5
3991991,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3992085,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3992127,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3992232,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3992331,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3992398,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,2
3992488,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3992594,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3992714,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3992780,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,2
3992862,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3992963,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,5
3993002,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,2
3993052,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3993108,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3993162,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3993217,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3993387,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,5
3993501,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,5
3993778,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3993779,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3993780,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3993781,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3993783,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3993788,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,5
3993791,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3993792,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3993793,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3993794,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,5
3993796,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3993797,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,5
3993799,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
4208665,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,5
4208679,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
4208943,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,2
