ID,AreaPath,IterationPath,Priority,Microsoft.VSTS.Scheduling.StoryPoints
2715757,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,5
2715758,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
2715771,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
2715781,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3075521,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075523,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075524,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075525,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3075529,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,3
3075531,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075533,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075534,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3075535,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,5
3075536,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,5
3075542,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075546,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3075548,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,3
3075554,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3075555,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3075556,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075558,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3075559,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3075560,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,3
3075565,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,2
3075566,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3075567,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075570,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3075571,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3075572,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075581,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3075585,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,5
3075586,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
3075592,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075593,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,3
3075599,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075602,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3075603,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3075604,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075605,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3075607,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3075609,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3075610,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3075611,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3075612,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3075614,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3075615,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3075616,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3075617,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075618,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,3
3075620,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3075621,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3075622,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075624,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3077019,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3077021,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3077022,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3077024,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3077025,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3077026,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3077027,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3077028,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3077029,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3077030,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3077032,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,5
3077033,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3077437,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3077443,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3077452,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,5
3077458,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,5
3088463,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3088618,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3089377,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3136845,TaxProf\aafm\audit\engagementManager\Spartans,TaxProf\2025,3,5
3143533,TaxProf\aafm\audit\engagementManager\Spartans,TaxProf\2025,3,8
