ID,AreaPath,IterationPath,Priority,Microsoft.VSTS.Scheduling.StoryPoints
2715757,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,5
2715758,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,3
2715771,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
2715781,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3075521,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075523,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075524,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075525,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3075529,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,3
3075531,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075533,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075534,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3075535,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,5
3075536,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,5
3075542,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075546,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3075548,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,3
3075554,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,3
3075555,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3075556,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1,2
3075558,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3075559,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
3075560,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,3
3075565,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3,2
3075566,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2,2
