ID,Title,Work Item Type,System.AreaPath,System.IterationPath,Microsoft.VSTS.Common.Priority,Microsoft.VSTS.Scheduling.StoryPoints
2715757,508: [AdvanceFlow] [1.4.10] [Communications Tab]: 400% zoom test fails,Bug,,,,5
2715758,508: [AdvanceFlow] [1.4.4] [Communications Tab]: Contents get cut in 200% zoom,Bug,,,,3
2715771,508: [AdvanceFlow] [2.1.1] [Communications Tab]: Checkboxes are not operable with JAWS and keyboard,Bug,,,,2
2715781,508: [AdvanceFlow] [3.3.2] [Communications Tab]: JAWS fails to announce the number of items in the list in the dropdown,Bug,,,,2
3075521,508: [Cloud Audit Suite] [EPC] [1.4.12] [Workpapers]: The content on the page is getting truncated because of text spacing,Bug,,,,2
3075523,508: [Cloud Audit Suite] [EPC] [2.4.1] [Workpapers]: Skip Links are not defined on the page.,Bug,,,,2
3075524,508: [Cloud Audit Suite] [EPC] [2.4.7] [Workpapers]: Focus is not visible for buttons.,Bug,,,,2
3075525,508: [Cloud Audit Suite] [EPC] [2.1.1] [Workpapers]: Tooltip information is not visible once the keyboard focuses triggers.,Bug,,,,2
3075529,"508: [Cloud Audit Suite] [EPC] [2.1.1] [Workpapers]: B, I, U are Not accessible using keyboard.",Bug,,,,3
3075531,508: [Cloud Audit Suite] [EPC] [4.1.2] [Workpapers]: Ensures buttons have discernible text,Bug,,,,2
3075533,508: [Cloud Audit Suite] [EPC] [4.1.2] [Workpapers]: Ensures links have discernible text,Bug,,,,2
3075534,508: [Cloud Audit Suite] [EPC] [2.1.1] [Workpapers]: Checkboxes not accessible using the keyboard.,Bug,,,,3
3075535,508: [Cloud Audit Suite] [EPC] [1.4.10] [Workpapers]: Content is getting overlapped after resizing the page to 400% zoom.,Bug,,,,5
3075536,508: [Cloud Audit Suite] [EPC] [1.4.10] [Workpapers]:Ensure pages reflow without loss of content or functionality,Bug,,,,5
3075537,508: [Cloud Audit Suite] [EPC] [TR Standard] [Workpapers]: Expanded list items are not getting closed esc key.,Bug,,,,
3075542,508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: The modal heading should be given as H2 level.,Bug,,,,2
3075546,508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: Form inputs do not have properly associated labels in reports section.,Bug,,,,3
3075548,508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: NVDA is not announcing the label associated with the form Field.,Bug,,,,3
3075554,508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: List items in drop down menus are not getting conveyed to the screen reader user.,Bug,,,,3
3075555,508: [Cloud Audit Suite] [EPC] [1.4.11] [Workpapers]: Focus Indicator for datepicker doesn’t meet the required contrast ratio of 3:1,Bug,,,,2
3075556,508: [Cloud Audit Suite] [EPC] [4.1.2] [Workpapers]: Datepicker needs discernible text,Bug,,,,2
3075558,508: [Cloud Audit Suite] [EPC] [1.4.11] [Workpapers]: Close button doesn’t meet the required contrast ratio of 3:1.,Bug,,,,2
3075559,508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: Multiple H1 heading is defined on the page.,Bug,,,,2
3075560,508: [Cloud Audit Suite] [EPC] [4.1.2] [Workpapers]: Radio buttons should be tab panel,Bug,,,,3
3075565,508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: NVDA is announcing a non-interactive element. Focus also moves to said element.,Bug,,,,2
3075566,508: [Cloud Audit Suite] [EPC] [1.4.11] [Workpapers]: Insufficient color contrast for button text on hover.,Bug,,,,2
3075567,508: [Cloud Audit Suite] [EPC] [2.4.7] [Workpapers]: Focus is not visible for 'Add' menu items in in 'Workpapers',Bug,,,,2
3075570,508: [Cloud Audit Suite] [EPC] [4.1.2] [Workpapers]: Items in 'Assigned to' drop down are not being announced via screen reader.,Bug,,,,3
3075571,508: [Cloud Audit Suite] [EPC] [TR Standard] [Workpapers]: Main content area missing landmark,Bug,,,,2
3075572,508: [Cloud Audit Suite] [EPC] [2.1.1] [Workpapers]: 'view properties' link is inaccessible with keyboard.,Bug,,,,2
3075581,508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: Multiple H1 present in Bento Wizard implementation,Bug,,,,2
3075585,508: [Cloud Audit Suite] [EPC] [2.1.1] [Workpapers]: Table is not accessible using the keyboard.,Bug,,,,5
3075586,508: [Cloud Audit Suite] [EPC] [2.4.3] [Workpapers]: Focus is Moving twice to During Finalize field in add workpaper wizard,Bug,,,,3
3075592,"508: [Cloud Audit Suite] [EPC] [4.1.2] [Workpapers]: Ensure every ARIA button, link and menu item has an accessible name",Bug,,,,2
3075593,508: [Cloud Audit Suite] [EPC] [2.4.3] [Workpapers]: Keyboard focus is not moving in the correct order format.,Bug,,,,3
3075599,"508: [Cloud Audit Suite] [EPC] [4.1.2] [Workpapers]: NVDA is not properly announcing the links in the hamburger ""LINKS"" menu.",Bug,,,,2
3075602,508: [Cloud Audit Suite] [EPC] [2.1.1] [Workpapers]: List of filter options in the 'Trial Balance' section is not keyboard operable.,Bug,,,,3
3075603,508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: Nested table in Trial Balance filter dialog,Bug,,,,2
3075604,508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: Provide a valid label for form fields,Bug,,,,2
3075605,508: [Cloud Audit Suite] [EPC] [2.1.1] [Workpapers]:Table Headers are not accessible using the keyboard.,Bug,,,,3
3075607,508: [Cloud Audit Suite] [EPC] [2.4.3] [Workpapers]: Focus is moving out the dialog.,Bug,,,,3
3075609,508: [Cloud Audit Suite] [EPC] [4.1.3] [Workpapers]: Status message is not appeared after clicking on save and more button.,Bug,,,,3
3075610,508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: NVDA is not announcing the dialog Information.,Bug,,,,3
3075611,508: [Cloud Audit Suite] [EPC] [3.3.2] [Workpapers]: NVDA is not announcing the error message displayed on the screen.,Bug,,,,3
3075612,508: [Cloud Audit Suite] [EPC] [2.1.1] [Workpapers]: Expand button in Trial Balance section is not operable using keyboard.,Bug,,,,3
3075614,508: [Cloud Audit Suite] [EPC] [1.4.3] [Workpapers]: Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Bug,,,,2
3075615,508: [Cloud Audit Suite] [EPC] [2.1.1] [Workpapers]: Attach button is not operable using keyboard.,Bug,,,,3
3075616,508: [Cloud Audit Suite] [EPC] [2.1.2] [Workpapers]: Ensure keyboard focus is not trapped,Bug,,,,3
3075617,508: [Cloud Audit Suite] [EPC] [4.1.2] [Workpapers]: Provide a valid label name for check box,Bug,,,,2
3075618,508: [Cloud Audit Suite] [EPC] [2.4.7] [Workpapers]: Visual focus indicator should be provided for menu button.,Bug,,,,3
3075620,508: [Cloud Audit Suite] [EPC] [4.1.3] [Workpapers]: NVDA is not announcing the new page information displayed on the screen.,Bug,,,,2
3075621,508: [Cloud Audit Suite] [EPC] [2.4.3] [Workpapers]: Keyboard focus is inconsistently visible,Bug,,,,3
3075622,508: [Cloud Audit Suite] [EPC] [4.1.2] [Workpapers]: NVDA is not narrating the descriptive information for the buttons.,Bug,,,,2
3075624,508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: List value information is not announcing while using arrow keys,Bug,,,,2
3077019,"508: [Cloud Audit Suite] [EPC] [3.3.2] [Under Engagement, Add and Manage]: Permanent visual label is not provided for the Filter client name and filter client number",Bug,,,,2
3077021,"508: [Cloud Audit Suite] [EPC] [2.4.7] [Under Engagement, Add and Manage]: Interactive client table does not receive focus, nor is it keyboard operable",Bug,,,,3
3077022,"508: [Cloud Audit Suite] [EPC] [1.3.1] [Under Engagement, Add and Manage]: Multiple heading level 1 is present on the page",Bug,,,,2
3077024,"508: [Cloud Audit Suite] [EPC] [2.1.1] [Under Engagement, Add and Manage]: Engagement >  Engagement Recycle Bin does not receive focus, nor is the element keyboard operable",Bug,,,,3
3077025,"508: [Cloud Audit Suite] [EPC] [2.4.3] [Under Engagement, Add and Manage]: Engagement > Incorrect focus order is found on Left navigation menu.",Bug,,,,3
3077026,"508: [Cloud Audit Suite] [EPC] [1.3.1] [Under Engagement, Add and Manage]: 'Add Note' modal not tagged as heading",Bug,,,,2
3077027,"508: [Cloud Audit Suite] [EPC] [2.4.7] [Under Engagement, Add and Manage]: Add note: ""View properties"" does not receive focus/is not keyboard accessible,",Bug,,,,3
3077028,"508: [Cloud Audit Suite] [EPC] [4.1.2] [Under Engagement, Add and Manage]: Add note : No role is provided for ""View properties""",Bug,,,,2
